100.0083814,0.12572093
99.90659331,0.146937848
99.60162056,0.210323382
99.09463694,0.315088179
98.38759657,0.459937326
97.48323034,0.643100181
96.38504063,0.862369878
95.09729385,1.115150412
93.62501068,1.398508896
91.97395337,1.709230394
90.1506101,2.043872734
88.1621759,2.398818914
86.01653016,2.770325027
83.72221055,3.154562145
81.28838358,3.547651172
78.72481173,3.945690364
76.04181759,4.344775829
73.25024522,4.741016019
70.36141893,5.130541707
67.38709992,5.50951343
64.33944099,5.874128586
61.23093941,6.220630502
58.07438816,6.545321633
54.88282554,6.844582773
51.66948307,7.114899661
48.44773169,7.35289774
45.23102612,7.555385109
42.03284725,7.719402884
38.85750467,7.841382318
35.71095025,7.909030209
32.62300869,7.918269964
29.60725429,7.86859961
26.67698159,7.760233353
23.84512267,7.594121569
21.12416495,7.371953985
18.52607126,7.096143537
16.06220412,6.769789165
13.74325596,6.396616686
11.57918694,5.980897952
9.579171619,5.527349565
7.751555407,5.041013519
6.103821041,4.527123142
4.64256512,3.990958578
3.373483971,3.437696785
2.30136782,2.872261455
1.430101824,2.299178515
0.762672342,1.722442815
0.301176665,1.145401283
0.046834544,0.570657272
0,0
0.158626181,-0.550137584
0.519821953,-1.063722696
1.081411959,-1.540159789
1.840411872,-1.978812308
2.793057479,-2.379039656
3.934840294,-2.740246611
5.26054809,-3.061942039
6.764308547,-3.343803157
8.439634104,-3.585741204
10.27946619,-3.787964218
12.27621723,-3.951032728
14.42180903,-4.075904491
16.70770685,-4.163964983
19.12494855,-4.217041114
21.66416904,-4.23739654
24.3156205,-4.227707992
27.06918939,-4.191023064
29.9144114,-4.13070097
32.84048587,-4.050338708
35.83629109,-3.953685914
38.89040194,-3.844552271
42.00716325,-3.723936685
45.16667129,-3.585416251
48.34711055,-3.431249608
51.53567469,-3.264477257
54.71947705,-3.087998418
57.88560134,-2.904521868
61.02115399,-2.716530334
64.11331768,-2.526259092
67.14940553,-2.335688548
70.11691539,-2.146549741
73.0035838,-1.96034098
75.79743924,-1.77835328
78.48685429,-1.601701855
81.06059661,-1.431360766
83.50787847,-1.26819782
85.81840485,-1.113007052
87.98241994,-0.966536499
89.99075209,-0.829509517
91.83485712,-0.702638487
93.50685974,-0.586630468
94.99959294,-0.48218499
96.3066351,-0.389984817
97.42234436,-0.310681042
98.34188974,-0.244874263
99.06127876,-0.19309385
99.57738082,-0.155777373
99.88794596,-0.133252192
99.9916186,-0.12572093
100.0083814,0.12572093
